W;S;OT;WT;G;LM;OM3
2;8618;80,8;563,3333333;1026,25;468,3333333;105,9375
2;8618;69;221,375;496;330;34
2;8618;49,6;411,1111111;621,25;330,8333333;64,6875
2;8618;73,5;391,125;533,3333333;541,2;36,66666667
2;8618;37,6;322,2222222;458,75;257,5;48,75
2;8618;202,5;405,125;1438,666667;673,2;100,6666667
2;8618;20,8;285,5555556;266,25;229,1666667;29,0625
2;8618;66;399;441,3333333;543,6;32,66666667
2;8618;34,4;815,5555556;450;588,3333333;45
2;8618;757,65;27,475;0;0;0
2;8618;42,4;152,2222222;0;0;0
2;8618;70,5;70,875;0;0;0
2;8618;12;68,88888889;0;0;0
2;8618;381,9;118,0375;0;0;0
2;8618;39,52;46,88888889;0;0;0
2;8618;91,5;169,75;0;0;0
2;8618;46,4;250;0;0;0
2;8618;220,2;65,625;0;0;0
2;8618;45,6;195,5555556;0;0;0
2;8618;69;85,75;0;0;0
2;8618;65,6;73,33333333;0;0;0
2;8618;72;99,75;0;0;0
2;8618;28;135,5555556;0;0;0
2;8618;70,5;166,25;557,3333333;264;34,66666667
2;8618;48,8;324,4444444;610;271,6666667;63,75
2;8618;94,5;281,75;674,6666667;426;46,66666667
2;8618;65,6;468,8888889;818,75;386,6666667;85,3125
2;8618;109,5;347,375;740;520,8;54,66666667
2;8618;14,4;301,1111111;185;219,1666667;18,75
2;8618;0;193,375;0;237,6;0
2;8618;0,8;115,5555556;1,25;78,33333333;0,9375
2;8618;1462,8;34,3875;0;0;0
2;8618;72;265,5555556;0;0;0
2;8618;39;63,875;0;0;0
2;8618;32,8;108,8888889;0;0;0
2;8618;69;98,875;0;0;0
2;8618;47,2;105,5555556;0;0;0
2;8618;417,3;131,8625;0;0;0
2;8618;23,2;191,1111111;0;0;0
2;8618;67,5;148,75;0;0;0
2;8618;37,6;201,1111111;0;0;0
2;8618;1121,25;6,65;0;0;0
2;8618;106,96;86,88888889;0;0;0
2;8618;122,85;39,9875;0;0;0
2;8618;112,24;86,44444444;0;0;0
2;8618;215,7;88,55;0;0;0
2;8618;38,4;120;0;0;0
2;8618;79,5;98,875;0;0;0
2;8618;29,6;125,5555556;0;0;0
2;8618;1473;3356,5;10265,33333;5389,2;730,6666667
2;8618;620,8;4867,777778;7772,5;3952,5;810,9375
2;8618;846;1310,75;0;0;0
2;8618;1754,25;328,3;0;0;0
2;8618;304,5;2554,125;2297,333333;3409,2;150
2;8618;1985,84;1620,555556;0;0;0
2;8618;1104;3694,25;7873,333333;5508;550
2;8618;1299,6;1038,333333;0;0;0
2;8618;5591,2;609,4444444;0;0;0
2;8618;6785,4;29,1375;0;0;0
2;8618;340;5416,666667;4472,5;4036,666667;444,375
2;8618;1291,5;4210,5;9122,666667;6261,6;639,3333333
2;8618;54;164,5;426,6666667;247,2;26,66666667
2;8618;67,2;327,7777778;828,75;295,8333333;88,125
2;8618;132;511;974,6666667;745,2;65,33333333
2;8618;56,8;683,3333333;771,25;525,8333333;74,0625
2;8618;52;796,6666667;696,25;595,8333333;67,5
2;8618;192,15;60,2875;0;0;0
2;8618;21,6;83,33333333;0;0;0
2;8618;66;142,625;522,6666667;231,6;32,66666667
2;8618;34,4;205,5555556;428,75;176,6666667;45
2;8618;150;288,75;1049,333333;484,8;74,66666667
2;8618;63,2;417,7777778;771,25;350,8333333;83,4375
2;8618;84;418,25;624;582;41,33333333
2;8618;38,4;351,1111111;466,25;278,3333333;50,625
2;8618;4,5;287,875;30,66666667;357,6;2
2;8618;52;726,6666667;678,75;549,1666667;68,4375
2;8618;36;216,125;277,3333333;296,4;17,33333333
2;8618;191,28;133,7777778;0;0;0
2;8618;102,75;10,4125;0;0;0
2;8618;194,32;31,88888889;0;0;0
2;8618;340,5;44,1;0;0;0
2;8618;88;628,8888889;1168,75;525;115,3125
2;8618;87;296,625;648;442,8;43,33333333
2;8618;0;136,6666667;0;91,66666667;0
2;8618;525,6;6,666666667;0;0;0
2;8618;898,65;44,0125;0;0;0
2;8618;410,24;74,44444444;0;0;0
2;8618;236,4;80,2375;0;0;0
2;8618;15,36;17;0;0;0
2;8618;114;152,25;0;0;0
2;8618;42,4;180;0;0;0
2;8618;78;172,375;0;0;0
2;8618;34,4;126,6666667;0;0;0
2;8618;765,15;21,875;0;0;0
2;8618;57,6;181,1111111;0;0;0
2;8618;4,5;4,375;0;0;0
2;8618;44;146,6666667;0;0;0
2;8618;79,5;122,5;0;0;0
2;8618;47,2;138,8888889;0;0;0
2;8618;60;136,5;428;218,4;29,33333333
2;8618;63,2;394,4444444;760;335,8333333;83,4375
2;8618;135;399,875;945,3333333;604,8;66,66666667
2;8618;59,2;372,2222222;720;315;76,875
2;8618;44,8;186,6666667;540;176,6666667;59,0625
2;8618;66;378,875;466,6666667;518,4;32,66666667
2;8618;40;493,3333333;523,75;374,1666667;52,5
2;8618;84;278,25;606,6666667;417,6;42
2;8618;29,6;576,6666667;365;417,5;39,375
2;8618;106,5;483,875;786,6666667;690;52,66666667
2;8618;0;418,8888889;0;281,6666667;0
2;8618;117;573,125;886,6666667;808,8;58
2;8618;207,84;69,55555556;0;0;0
2;8618;276,45;28,4375;0;0;0
2;8618;44,32;112,5555556;0;0;0
2;8618;270,45;24,85;0;0;0
2;8618;29,6;101,1111111;0;0;0
2;8618;72;97,125;0;0;0
2;8618;208,96;193,1111111;0;0;0
2;8618;905,1;2,3625;0;0;0
2;8618;402,64;88;0;0;0
2;8618;136,5;133;0;0;0
2;8618;357,76;75,66666667;0;0;0
2;8618;31,5;52,5;0;0;0
2;8618;36;128,8888889;0;0;0
2;8618;69;133;0;0;0
2;8618;29,6;111,1111111;0;0;0
2;8618;76,5;159,25;605,3333333;261,6;38
2;8618;80;561,1111111;988,75;465;104,0625
2;8618;3;209,125;24;259,2;1,333333333
2;8618;68,8;628,8888889;886,25;502,5;90
2;8618;267,45;73,15;0;0;0
2;8618;1,6;3,333333333;0;0;0
2;8618;87;139,125;0;0;0
2;8618;46,5;460,25;352;607,2;23,33333333
2;8618;9,6;160;125;118,3333333;12,1875
2;8618;360,75;50,225;0;0;0
2;8618;297,28;254,4444444;0;0;0
2;8618;149,1;56,6125;0;0;0
2;8618;88,32;72,55555556;0;0;0
2;8618;153;228,375;0;0;0
2;8618;41,6;124,4444444;0;0;0
2;8618;114;126;0;0;0
2;8618;260,8;74,22222222;0;0;0
2;8618;120,45;6,125;0;0;0
2;8618;222,4;208,2222222;0;0;0
2;8618;76,5;70;0;0;0
2;8618;36,8;173,3333333;0;0;0
2;8618;13,6;100;188,75;82,5;17,8125
2;8618;57;137,375;450,6666667;217,2;28
2;8618;26,4;137,7777778;318,75;122,5;34,6875
2;8618;87;256,375;605,3333333;387,6;42,66666667
2;8618;45,6;382,2222222;577,5;306,6666667;60
2;8618;90;345,625;629,3333333;500,4;44,66666667
2;8618;30,4;397,7777778;385;302,5;39,375
2;8618;76,5;423,5;516;583,2;38
2;8618;84,8;685,5555556;1122,5;560,8333333;111,5625
2;8618;102;476;784;676,8;50,66666667
2;8618;141;485,625;1056;723,6;70
2;8618;0;195,5555556;0;130,8333333;0
2;8618;0;132,125;0;163,2;0
2;8618;89,4;17,675;0;0;0
2;8618;75,36;58,66666667;0;0;0
2;8618;181,2;62,0375;0;0;0
2;8618;80;173,3333333;0;0;0
2;8618;81;112,875;0;0;0
2;8618;49,6;156,6666667;0;0;0
2;8618;225,45;128,8;0;0;0
2;8618;40;188,8888889;0;0;0
2;8618;271,2;48,5625;0;0;0
2;8618;138,64;55,33333333;0;0;0
2;8618;535,35;186,4625;0;0;0
2;8618;23,2;87,77777778;0;0;0
2;8618;52,5;98,875;0;0;0
2;8618;66;104,125;522,6666667;184,8;32,66666667
2;8618;33,6;200;426,25;170,8333333;43,125
2;8618;30;117,25;201,3333333;169,2;14,66666667
2;8618;18,4;120;225;101,6666667;24,375
2;8618;40,5;111,125;273,3333333;170,4;20
2;8618;63,2;395,5555556;787,5;335,8333333;82,5
2;8618;114;287,875;765,3333333;450;56
2;8618;47,2;392,2222222;585;315;61,875
2;8618;42;278,25;300;374,4;20,66666667
2;8618;42,4;394,4444444;528,75;311,6666667;55,3125
2;8618;141;618,625;1057,333333;886,8;70
2;8618;321,68;73,77777778;0;0;0
2;8618;437,85;24,7625;0;0;0
2;8618;7,92;2,888888889;0;0;0
2;8618;85,5;180,25;0;0;0
2;8618;151,28;114,5555556;0;0;0
2;8618;227,85;79,3625;0;0;0
2;8618;2,4;6,666666667;0;0;0
2;8618;314,55;105,35;0;0;0
2;8618;34,4;0;0;0;0
2;8618;55,5;69,125;0;0;0
2;8618;26,4;155,5555556;0;0;0
2;8618;99;145,25;0;0;0
2;8618;51,2;122,2222222;0;0;0
2;8618;93;118,125;0;0;0
2;8618;852,96;9,666666667;0;0;0
2;8618;129,3;13,825;0;0;0
2;8618;49,76;13,77777778;0;0;0
2;8618;80,85;23,5375;0;0;0
2;8618;207,68;205,3333333;0;0;0
2;8618;37,5;63,875;0;0;0
2;8618;51;133;364;206,4;25,33333333
2;8618;68,8;343,3333333;843,75;308,3333333;90
2;8618;99;340,375;710,6666667;501,6;49,33333333
2;8618;72;690;947,5;547,5;93,75
2;8618;202,5;653,625;1482,666667;985,2;100,6666667
2;8618;22,12933333;319,4333333;0;240,5637862;28,91060479
2;8618;120,809375;565,6091146;0;803,4336028;59,85847888
2;8618;65,5099;936,2161111;0;705,8170064;85,58463106
2;8618;68,1666126;567,2684198;0;460,7310963;89,05546169
2;8618;118,26;415,38;0;616,3809889;58,59531773
2;8618;85,03;601,425;0;503,289461;111,0864339
2;8618;80,86845775;429,2981479;0;600,1519567;40,06860287
2;8618;50,02866667;612,8718056;0;470,3428159;65,35935758
2;8618;148,893;420,573125;0;650,0888342;73,77331847
2;8618;58,5537;549,5695833;0;437,6627823;76,49678616
2;8618;140,3225;444,50875;0;671,8854917;69,52681779
2;8618;74,7384;448,2140741;0;388,2813722;97,64109532
2;8618;186,25275;427,5672188;0;692,0111676;92,28428094
2;8618;62,4464;1023,551111;0;761,0049459;81,58235786
2;8618;0,18575;155,3256979;0;191,2132866;0,092035179
2;8618;0,0744;109,6366667;0;73,83303588;0,097198997
2;8618;170,376;879,7455556;0;789,6110578;222,5857023
2;8618;107,26;746,5144444;0;626,6984751;140,1285535
2;8618;268,677;538,21425;0;901,6159263;133,1237458
2;8618;64,0456;575,3307407;0;461,3685395;83,67161371
2;8618;163,4376875;439,3389583;0;686,1422992;80,97990214
2;8618;48,944;448;0;358,1828983;63,94230769
2;8618;66,55625864;503,0662173;0;415,6756892;86,95163389
2;8618;105,5484392;316,1584442;0;483,0034271;52,29700936
2;8618;80,19129048;525,741003;0;446,7618543;104,7649593
2;8618;57,48875;234,07125;0;339,1751569;28,48445435
2;8618;75,20386667;603,0311111;0;492,958929;98,24919872
2;8618;160,4575;425,0152813;0;665,8665364;79,50328255
2;8618;37,04773333;539,0103704;0;405,5857595;48,40057135
2;8618;137,466;401,555;0;616,5056016;68,11148272
2;8618;60,4872;963,48;0;718,3231924;79,02278428
2;8618;0,185;147,2522917;0;181,2824832;0,09166357
2;8618;6,55875;442,7259375;0;550,3938929;3,249721293
2;8618;71,424;921,9744444;0;703,1053262;93,31103679
2;8618;193,9569375;305,8468438;0;549,1685158;96,10154218
2;8618;60,3925;920,7236111;0;689,4533165;78,89906459
2;8618;191,1284375;659,2002083;0;981,2637324;94,70008052
2;8618;96,696;838;0;675,9680999;126,3273411
2;8618;79,0376;535,9555556;0;452,2928738;103,2577341
2;8618;178,5446236;527,9757067;0;808,6370949;88,46506804
2;8618;89,2056;547,0466667;0;471,5611405;116,541597
2;8618;161,34525;445,2715313;0;691,5730849;79,94314381
2;8618;50,7693;563,3506481;0;437,8927017;66,32694921
2;8618;58,5;175,875;462,6666667;265,2;28,66666667
2;8618;0;108,8888889;0;73,33333333;0
2;8618;1385,7;29,225;0;0;0
2;8618;41,6;148,8888889;578,75;147,5;54,375
2;8618;237;501,375;1874,666667;819,6;117,3333333
2;8618;85,6;381,1111111;1067,5;353,3333333;112,5
2;8618;90;312,375;648;459,6;44,66666667
2;8618;71,2;466,6666667;870;392,5;92,8125
2;8618;67,5;242,375;498,6666667;358,8;34
2;8618;32,8;395,5555556;416,25;304,1666667;43,125
2;8618;93;581,875;700;798;46
2;8618;34,4;830;457,5;597,5;44,0625
2;8618;154,4;3,333333333;0;0;0
2;8618;537,15;51,45;0;0;0
2;8618;102,16;71,55555556;0;0;0
2;8618;78;122,5;0;0;0
2;8618;35,2;190;0;0;0
2;8618;99;147;0;0;0
2;8618;132,8;120;0;0;0
2;8618;42;60,375;0;0;0
2;8618;31,2;107,7777778;0;0;0
2;8618;165,2075625;600,1124063;0;885,4690341;81,85683761
2;8618;52,688;944,6990741;0;696,6332406;68,83361204
2;8618;118,98;762,53625;0;1044,018645;58,95206243
2;8618;0,122833333;217,7220833;0;146,5924755;0,16047415
2;8618;1,372;23,65222222;0;17,50284039;1,79243311
2;8618;174,77875;682,1682292;0;994,9322955;86,59915769
2;8618;32,0712;681,2633333;0;495,4924687;41,89903846
2;8618;281,33875;51,8;0;314,6282776;139,397374
2;8618;62,05136667;930,1136111;0;697,6958659;81,06627125
2;8618;168,2835;677,41975;0;983,2988923;83,38089929
2;8618;65,58833404;523,386001;0;428,2196753;85,68710029
2;8618;107,601;380,699375;0;564,2181322;53,31400966
2;8618;31,36143333;603,3721296;0;442,2750457;40,97177223
2;8618;74,778;869,0611111;0;671,4083255;97,69283027
2;8618;77,996;538,0566667;0;452,4965897;101,8969482
2;8618;177,87525;691,8845938;0;1009,644887;88,13340766
2;8618;120,8908125;405,8082656;0;606,9542607;59,89882943
2;8618;5,535;373,98375;0;464,92928;2,742474916
2;8618;16,86186667;353,9304167;0;257,6511074;22,02898551
2;8618;223,851;688,785125;0;1046,836614;110,9134151
2;8618;45,88879487;346,7871675;0;286,5545742;59,95087122
2;8618;111,7395;431,043375;0;629,8312546;55,36454849
2;8618;59,768;710,7611111;0;547,497717;78,08319398
2;8618;85,365;433,62375;0;609,4826582;42,29654404
2;8618;42,4824;562,8566667;0;427,9370298;55,50062709
2;8618;71,548;912,8122222;0;697,0863949;93,47303512
2;8618;0,126;103,8065;0;127,7923746;0,062430323
2;8618;0,118666667;220,1266667;0;148,2050696;0,155030658
2;8618;0,0164;26,02361111;0;17,52371612;0,021425585
2;8618;119,226;484,859375;0;702,7008234;59,0739502
2;8618;78,3184;558,5511111;0;466,6564866;102,3181438
2;8618;77,94843642;283,7415325;0;418,5158617;38,62179433
2;8618;69,8495;605,8305556;0;488,6240534;91,25404996
2;8618;76,54;175,7379167;0;284,4173593;37,92394401
2;8618;124,1716667;870,3800926;0;729,6553277;162,2225996
2;8618;0,58175;387,6729792;0;477,3491545;0,288244767
2;8618;10,1303;174,56625;0;129,1853423;13,23461016
2;8618;52,9788;1024,234815;0;750,4703175;69,21352425
2;8618;135,6017438;345,1943195;0;545,520389;67,18778335
2;8618;28,65416699;445,9910351;0;333,2694331;37,43489625
2;8618;52,15;305,6783333;0;422,4890662;25,83921714
2;8618;97,89173333;475,8962963;0;433,7891655;127,8894928
2;8618;92,156625;508,5045729;0;707,6418219;45,66164994
2;8618;0,0448;113,5866667;0;76,45561271;0,058528428
2;8618;1978,281375;7406,26363;0;10873,91544;980,1963954
2;8618;449,2926875;2947,765151;0;4026,401452;222,614982
2;8618;811,9660667;6422,920463;0;5263,268689;1060,783427
2;8618;0,5345;426,8471667;0;525,4905118;0,264833395
2;8618;855,2471333;7522,678611;0;6053,277688;1117,327463
2;8618;671,450125;4656,50624;0;6326,253875;332,6892729
2;8618;832,2757011;6438,9973;0;5297,667844;1087,316708
2;8618;0,0164;26,02361111;0;17,52371612;0,021425585
2;8618;567,8905301;4188,786465;0;3477,048341;741,9138406
2;8618;1253,614375;5182,393089;0;7492,294626;621,1392915
2;8618;49,68;7,555555556;0;0;0
2;8618;557,55;215,25;0;0;0
2;8618;136,64;108,1111111;0;0;0
2;8618;63;93,625;0;0;0
2;8618;36,8;104,4444444;0;0;0
2;8618;46,5;161,875;0;0;0
2;8618;37,6;132,2222222;0;0;0
2;8618;75;85,75;0;0;0
2;8618;43,1024;981,0122222;0;709,9275754;56,31061873
2;8618;168,0596875;643,2188802;0;941,0328699;83,27000495
3;8617;961,5;7864,5;0;0;0
3;8617;288,8;15455,55556;0;0;0
3;8617;184,5;6544,125;0;0;0
3;8617;484;13441,11111;0;0;0
3;8617;519,45;12829,8625;0;0;0
3;8617;568;15050;0;0;0
3;8617;392,25;3584,175;0;0;0
3;8617;407,68;14102,55556;0;0;0
3;8617;950,55;10968,475;0;0;0
3;8617;345,04;15713,44444;0;0;0
3;8617;1573,5;10854,55;0;0;0
3;8617;370,88;16058;0;0;0
3;8617;2278,5;9142,875;0;0;0
3;8617;1329;9404,5;0;0;0
3;8617;557,6;13615,55556;0;0;0
3;8617;787,5;10648,75;0;0;0
3;8617;652,08;461,2222222;0;0;0
3;8617;832,5;15022;0;0;0
3;8617;913,6;4586,111111;0;0;0
3;8617;667,05;12035,275;0;0;0
3;8617;432,4;10515,88889;0;0;0
3;8617;1189,8;11954,5125;0;0;0
3;8617;540,96;19343,77778;0;0;0
3;8617;699,75;10974,075;0;0;0
3;8617;609,6;11946,66667;0;0;0
3;8617;486;14015,75;0;0;0
3;8617;414,4;15523,33333;0;0;0
3;8617;1596,9;3302,8625;0;0;0
3;8617;1490,72;10157,88889;0;0;0
3;8617;648;10750,3375;0;0;0
3;8617;482,16;15081,11111;0;0;0
3;8617;952,5;12334;0;0;0
3;8617;219,2;15344,44444;0;0;0
3;8617;815,55;11784,85;0;0;0
3;8617;219,84;9226,444444;0;0;0
3;8617;742,5;11233,25;0;0;0
3;8617;694,4;13245,55556;0;0;0
3;8617;687;8904,875;0;0;0
3;8617;462,4;12308,88889;0;0;0
3;8617;2164,5;9325,75;0;0;0
3;8617;963,68;3507,333333;0;0;0
3;8617;913,2;12786,9;0;0;0
3;8617;382,88;15240,44444;0;0;0
3;8617;2034;3188,4125;0;0;0
3;8617;701,84;10030,11111;0;0;0
3;8617;2221,35;9701,65;0;0;0
3;8617;585,2;15260,66667;0;0;0
3;8617;1213,95;14707,4375;0;0;0
3;8617;369,2;14290,77778;0;0;0
3;8617;1033,5;14615,125;0;0;0
3;8617;1501,6;28,88888889;0;0;0
3;8617;721,5;12487,125;0;0;0
3;8617;932,8;16360;0;0;0
3;8617;4594,5;70;0;0;0
3;8617;1242,48;528,8888889;0;0;0
3;8617;1714,2;3675,4375;0;0;0
3;8617;617,92;15364;0;0;0
3;8617;915;13650;0;0;0
3;8617;596,8;11604,44444;0;0;0
3;8617;1648,05;9668,8375;0;0;0
3;8617;649,44;12974,88889;0;0;0
3;8617;1023,15;7975,8;0;0;0
3;8617;728;16659,77778;0;0;0
3;8617;1444,95;11015,025;0;0;0
3;8617;572,96;15133,77778;0;0;0
3;8617;648,75;9588,95;0;0;0
3;8617;257,2;16005,55556;0;0;0
3;8617;1020;12278;0;0;0
3;8617;407,76;14006;0;0;0
3;8617;895,05;12852,175;0;0;0
3;8617;451,2;15284,44444;0;0;0
3;8617;963;12011,125;0;0;0
3;8617;819;10077,375;0;0;0
3;8617;753,68;522;0;0;0
3;8617;3170,4;2776,4625;0;0;0
3;8617;866,8;11250,33333;0;0;0
3;8617;1224,6;9886,275;0;0;0
3;8617;370,4;16163,66667;0;0;0
3;8617;799,5;10171;0;0;0
3;8617;361,6;15525,55556;0;0;0
3;8617;826,5;11190,375;0;0;0
3;8617;173,6;14681,11111;0;0;0
3;8617;621,6;12826,7125;0;0;0
3;8617;257,36;13067,66667;0;0;0
3;8617;612;10421,25;0;0;0
3;8617;78,4;14774,44444;0;0;0
3;8617;742,5;9223,375;0;0;0
3;8617;707,68;512,2222222;0;0;0
3;8617;1206,9;11633,825;0;0;0
3;8617;474,56;15327,33333;0;0;0
3;8617;685,5;7697,375;0;0;0
3;8617;362,4;15127,77778;0;0;0
3;8617;551,1;12525,1;0;0;0
3;8617;628,8;15061,11111;0;0;0
3;8617;14865,9;159831,35;0;0;0
3;8617;11385;140959,175;0;0;0
3;8617;5408,72;180433,2222;0;0;0
3;8617;9819;120627,5;0;0;0
3;8617;588,8;49736,66667;0;0;0
3;8617;8506,5;132187,125;0;0;0
3;8617;5489,36;155371,4444;0;0;0
3;8617;18021;122920,35;0;0;0
3;8617;6132;186572,2222;0;0;0
3;8617;848,8;14985,55556;0;0;0
3;8617;1320;10791,55;0;0;0
3;8617;516,24;14972,33333;0;0;0
3;8617;733,35;11486,825;0;0;0
3;8617;436;10436,66667;0;0;0
3;8617;590,4;11760;0;0;0
3;8617;82,5;0,875;0;0;0
3;8617;1437,12;242;0;0;0
3;8617;1667,4;358,6625;0;0;0
3;8617;1612,24;13715,22222;0;0;0
3;8617;1812,9;8911,525;0;0;0
3;8617;1013,36;10341,33333;0;0;0
3;8617;1236,45;12987,975;0;0;0
3;8617;304,72;14597;0;0;0
3;8617;1005;13659,8;0;0;0
3;8617;478,08;11401,11111;0;0;0
3;8617;938,25;12311,6;0;0;0
3;8617;429,68;14758,55556;0;0;0
3;8617;856,8;10408,0375;0;0;0
3;8617;11880;124454,75;0;0;0
3;8617;562,4;14624,44444;0;0;0
3;8617;897;9903,25;0;0;0
3;8617;492;14728,88889;0;0;0
3;8617;627;10599,75;0;0;0
3;8617;611,2;11784,44444;0;0;0
3;8617;718,5;13794,375;0;0;0
3;8617;808,64;15839,11111;0;0;0
3;8617;1438,2;356,125;0;0;0
3;8617;531,2;13603,33333;0;0;0
3;8617;670,35;11455,2375;0;0;0
